path,size,ext,sha256,is_binary,is_generated,loc
.dependabot.yml,489,.yml,b10f843fd5bcd77aec4cff00908300dc13933fe845497a2d29458995711e9e48,False,False,27
requirements.lock,5565,.lock,7d148568ab2a810dfd6e899da90e964bd01fa7353545637aa2241b71e5a4ce7c,False,True,0
docker-compose.yml,5228,.yml,875298f946b3769fa6461a139236272ead865d69b611b95a7422e93834dbfe72,False,False,192
validate_security_implementation.py,15475,.py,fc817fc7aa343d5259a408b65867a19b26084668c75af04efbe57eb8da2fcb55,False,False,332
requirements-security-python.txt,0,.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,False,0
Dockerfile.unified,3407,.unified,1de07f5d0644a381d30339102713e4f8b3cb226fbc99e4ec4c0ceaff35b6ac42,False,False,93
requirements.txt,5593,.txt,6e2caf2030e9eb1027699cde696383f0f0c5d687d0c6354a3908b424acf1cba3,False,False,171
.gitleaks.toml,504,.toml,4aff0e76847df3a64341259b2e01c3af53fe258f3fdc98a2be39c559efe3a815,False,False,17
docker-compose.enterprise.yml,6890,.yml,d1fed7929449446f6aab6c1a274179d779a9261fc4e18acd6620a6f5d43f4b6b,False,False,245
ADR_COMPLIANCE_FINAL_REPORT.json,5152,.json,4044e59cfc2663e73330a62cf377e503ff6338caa1b3f82d04ac1c8bca0d32b7,False,False,188
.yamllint.yaml,561,.yaml,bd6c432285bb064eabd894a525c8357afb5dfd0163691d5a8ada32be13b8b229,False,False,30
simple_validation.py,7754,.py,b92453809c0a9a4f8e1c9dd5fd0ce9b0f3c681a54dbc9cbe1ee0e4a5299050aa,False,False,181
demonstration.py,7640,.py,f1c40acc3e77646049da9629f92b22c0f3044d5f5d31463d9a6ed293718cbbe2,False,False,182
.env.example,3244,.example,1698061e88aefa70d2de3b546cce827a9607c2d4fa685502fcba8a470caeba0f,False,False,84
.gitattributes,300,(no_ext),023fa4b5ae64a637d61ac022573651ca625faa352026a8c6e27f1c53bc881676,False,False,7
migrate_requirements.py,8256,.py,153ec511652151bf2678a173242cad68106200c6094736254527655f1bc90ee6,False,False,177
docker-compose.production.yml,8450,.yml,158288d4dd9fdd5af4483354c341d01dbff6227ae619e2a47d1c9fc362c18977,False,False,313
pytest.ini,885,.ini,1a88a7a185361ddf9621f73ae0f19e3c0f5ff9c33523c0e2e27456cb68e268ac,False,False,35
docker-compose.development.yml,7145,.yml,4294115c39c87fa8fdea301c8571132a9627544af67c2a28d0ba046ff90f1777,False,False,254
requirements-security.txt,174,.txt,6b405a497d513a5373ba9395773a15ac5d93acc2382e8ea09a898f8b5677c8ba,False,False,9
.gitignore,553,(no_ext),925b0f3e259898d090407d613832e571c07a21a0b38c2da2c89357adcc4720d7,False,False,44
QUICK_START.md,4633,.md,cebcf3fd38dcc6825fa84255440f36e494904a12b78f5133ae08b0298154896e,False,False,103
container_exploitation.py,13467,.py,ef75ac8b7116c14ccb0c55d5374d53f8a9ac085d01fda3df5dd14ead72f88d23,False,False,275
Makefile,13115,(no_ext),256c6b77ef55731c3fafff8a4217780fb684aa9ddc5b4753a33399772d56745f,False,False,285
Dockerfile,3787,(no_ext),eb8dea57f0bede3d59832917765d8078b0f81f6cc2f3dadbd6aa7bb6203d5c24,False,False,111
.env.template,3717,.template,f15f5dfb2777a725b50477f997a390149a281caabc0bca527b9c5458568d7504,False,False,91
Makefile.perf,10465,.perf,955ec54fdf2ad042b7216d5e49182fe4e05b7e330b3db522b7799b1bdb16e545,False,False,235
security_middleware.py,10014,.py,9ad31b34cd5fb129fb67c47471be054dd67932140a7e7712c61bbd552addaf13,False,False,223
CLAUDE.md,28910,.md,c1a779e56726b25dcf067e4d49f22ff4a0be013a4367a1eee72d5b4dd83bfc43,False,False,540
README.md,16760,.md,6196c7e3d0df2b4e0eead905c7110ae5323b2953fc081f2c822edb4b73f7aaf4,False,False,377
