File_Path,Language,Risk_Level,CWE_ID,CWE_Name,Description,Code_Snippet,Line_Range,Severity,CVSS_Score,Remediation_Priority,Component_Type,Confidence_Level
src/api/app/main.py,Python,HIGH,CWE-209,Improper Error Information Disclosure,Global exception handler exposes internal error details in responses,logger.error(f\"Internal server error: {exc}\"),306-316,HIGH,7.5,HIGH,API_Core,95%
src/api/app/main.py,Python,MEDIUM,CWE-693,Protection Mechanism Failure,CORS allows wildcard origins in production,allow_origins=[...\"https://*.xorb-security.com\"],143,MEDIUM,5.3,MEDIUM,API_Core,90%
src/api/app/main.py,Python,MEDIUM,CWE-200,Exposure of Sensitive Information,API documentation and health endpoints expose system information,\"features\": [\"penetration_testing\"...],328-361,MEDIUM,4.2,LOW,API_Core,85%
src/api/app/security/ptaas_security.py,Python,HIGH,CWE-327,Use of a Broken or Risky Cryptographic Algorithm,Session tokens use SHA256 without proper salt/iterations,hashlib.sha256(token_bytes).hexdigest(),329,HIGH,6.8,HIGH,Security_Core,90%
src/api/app/security/ptaas_security.py,Python,CRITICAL,CWE-78,OS Command Injection,Direct subprocess execution with user-controlled host parameter,socket.gethostbyname(host),145,CRITICAL,9.1,CRITICAL,Security_Core,95%
src/api/app/security/ptaas_security.py,Python,HIGH,CWE-284,Improper Access Control,Network validation bypasses restricted networks with elevated permissions,if not user_context.get(\"elevated_permissions\"... return False,108-109,HIGH,7.2,HIGH,Security_Core,85%
src/api/app/services/ptaas_scanner_service.py,Python,CRITICAL,CWE-78,OS Command Injection,Multiple subprocess calls with user-controlled input,subprocess.exec(*cmd...) with target.host,384-388,CRITICAL,9.3,CRITICAL,Security_Scanner,98%
src/api/app/services/ptaas_scanner_service.py,Python,HIGH,CWE-117,Improper Output Neutralization for Logs,Scanner output directly logged without sanitization,logger.info(f\"Detected scanner: {scanner_name}\"),164,HIGH,6.5,MEDIUM,Security_Scanner,80%
src/api/app/services/ptaas_scanner_service.py,Python,MEDIUM,CWE-400,Uncontrolled Resource Consumption,No timeout limits on scanner execution,timeout=nmap_config.timeout with user control,392,MEDIUM,5.8,MEDIUM,Security_Scanner,85%
src/api/app/routers/ptaas.py,Python,MEDIUM,CWE-200,Exposure of Sensitive Information,Session status endpoint exposes internal scan details,return ScanSessionResponse(**session_status),160,MEDIUM,4.8,LOW,API_Router,75%
